Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator D10                      0mil          0mil     1006.5mil   1001.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1006.5mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.688mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.688mil   1001.625mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1007mil   1001.625mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1007mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.125mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.125mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.188mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.188mil    1002.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.125mil    1002.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.125mil   1002.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil   1002.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil   1002.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.938mil   1002.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.938mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.812mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.812mil     1002.5mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil     1002.5mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.438mil   1002.562mil          0mil          0mil  T          0.00 Comment        
